,County,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12,Sector_13,Sector_14,Sector_15,Sector_16,Sector_17,Sector_Total,Sector_18,Sector_19,Sector_20
0,Alameda County,3721,1674,19,473,2667,836,1603,4413,81,771,279,1800,11,3476,5465,1920,4245,37108,953,21,2680
1,Amador County,93,25,7,13,76,4,46,100,1,13,1,38,4,77,79,44,121,786,16,3,25
2,Butte County,415,232,26,59,443,49,304,717,10,69,24,176,5,436,432,226,736,4637,102,9,167
3,Calaveras County,98,37,11,15,167,7,39,94,2,7,4,37,4,84,63,42,135,881,12,2,21
4,Colusa County,39,7,18,7,28,1,20,28,2,4,2,24,2,34,18,19,59,376,30,4,30
5,Contra Costa County,1834,1307,20,351,2086,378,1771,2947,48,394,194,535,7,1904,3389,1300,2502,22338,383,25,963
6,El Dorado County,424,256,14,76,639,54,224,452,7,66,13,157,5,347,548,241,522,4236,51,7,133
7,Fresno County,1485,801,120,155,1376,167,975,2228,38,196,87,575,12,1364,1536,782,2481,15973,635,25,935
8,Humboldt County,382,102,57,57,289,34,158,422,6,46,14,128,1,295,236,165,573,3169,82,11,111
9,Imperial County,269,80,30,19,134,16,126,272,4,32,7,52,3,187,172,141,468,2419,174,12,221
10,Inyo County,92,16,2,21,47,4,20,55,3,10,2,10,6,49,33,24,87,525,11,10,23
11,Kern County,1290,599,59,135,1058,162,616,1542,17,142,73,396,223,1088,1266,644,1879,12344,437,61,657
12,Lake County,124,48,6,11,130,9,53,154,3,10,2,32,3,96,66,58,171,1032,18,12,26
13,Lassen County,43,9,10,9,32,5,22,57,1,10,1,1,2,44,29,25,80,409,12,6,11
14,Los Angeles County,20668,10798,117,12964,12842,3750,12688,30376,480,9928,1340,12478,124,19500,32410,14117,28442,253227,6766,242,23197
15,Madera County,204,90,36,31,214,32,100,203,5,19,6,96,3,154,113,82,317,1883,76,12,90
16,Marin County,744,530,12,245,917,199,663,1121,29,267,67,226,2,735,1732,585,1033,9654,99,5,443
17,Mariposa County,59,5,2,9,45,8,9,31,2,5,5,15,2,28,16,23,65,349,12,2,6
18,Mendocino County,334,92,62,49,258,22,83,270,7,45,10,118,3,203,198,134,448,2466,48,7,75
19,Merced County,306,120,58,34,235,21,153,425,9,29,7,106,3,250,141,148,537,2852,140,11,119
20,Monterey County,1007,439,76,134,841,91,415,1008,21,132,31,270,9,707,808,438,1313,8408,261,23,384
21,Nevada County,239,160,12,68,496,35,136,334,7,33,5,145,12,226,351,167,398,2966,42,4,96
22,Orange County,7321,4647,40,1035,6364,1260,6327,11065,165,1476,707,4637,37,6237,14482,5468,9461,89496,1177,83,7507
23,Placer County,831,522,11,146,1268,145,787,1114,15,145,52,249,5,775,1198,666,1236,9707,147,10,385
24,Riverside County,3467,1980,57,522,3915,372,1758,4266,46,426,155,1477,26,2960,3290,2081,5044,34773,1083,65,1783
25,Sacramento County,2574,1550,37,333,2349,451,1891,3301,46,486,192,742,10,2778,3779,1608,3503,27571,661,28,1252
26,San Bernardino County,3191,1609,25,330,2899,424,1572,3837,38,363,180,1768,27,2864,2526,1639,4750,32426,1477,91,2816
27,San Diego County,7026,4201,124,1111,6233,1332,4811,8643,168,1356,432,2861,36,6311,12881,5549,9297,78379,1577,83,4347
28,San Francisco County,4221,1360,3,525,1609,532,2234,3147,85,1339,236,684,8,2772,6538,1856,3595,32360,372,17,1227
29,San Joaquin County,1011,538,66,124,999,113,581,1372,15,112,49,511,13,1067,759,549,1595,10668,605,15,574
30,San Luis Obispo County,874,367,39,133,904,84,435,998,24,112,31,382,5,572,873,431,1158,7873,122,18,311
31,San Mateo County,1939,1152,20,278,1769,329,1328,2337,54,544,196,611,6,1640,3077,1141,2041,20342,712,16,1152
32,Santa Barbara County,1104,637,69,241,1035,187,639,1366,23,219,70,451,31,934,1358,679,1505,11211,207,14,442
33,Santa Clara County,4470,2202,21,543,3120,909,2367,5483,109,1415,263,2319,13,3604,8671,2475,4925,46212,586,22,2695
34,Santa Cruz County,681,328,20,110,730,154,319,887,12,111,36,298,5,552,893,355,877,6779,100,5,306
35,Shasta County,379,189,32,59,424,43,246,623,9,60,14,134,4,391,356,208,641,4126,121,18,175
36,Siskiyou County,136,34,36,22,106,9,65,114,3,17,2,32,5,104,93,55,170,1075,29,8,35
37,Solano County,730,344,11,104,626,89,336,865,7,73,31,251,7,719,535,380,1069,6677,198,10,292
38,Sonoma County,1219,703,79,220,1713,195,711,1447,36,193,62,828,10,1073,1537,655,1795,13370,240,12,642
39,Stanislaus County,822,370,58,93,820,96,516,1103,30,91,46,395,3,828,652,453,1399,8516,289,5,447
40,Sutter County,149,89,20,27,171,14,107,240,2,13,6,57,5,135,121,80,284,1696,87,12,77
41,Tehama County,115,39,14,14,98,4,49,143,2,11,4,37,1,94,62,47,147,956,40,3,32
42,Tulare County,569,293,102,56,559,47,338,852,13,58,26,236,7,532,424,296,1046,6142,291,22,375
43,Ventura County,1611,1065,81,396,1903,259,1379,2588,28,433,108,869,49,1489,2670,1035,2592,20089,365,56,1113
44,Yolo County,419,182,22,53,298,61,189,369,12,65,21,169,12,374,417,272,466,3878,177,4,296
45,Yuba County,88,30,8,14,87,8,44,74,1,8,3,39,6,79,85,48,131,820,33,1,33
46,Alpine County,9,2,0,3,4,1,1,3,0,0,1,0,0,2,3,2,2,36,1,2,0
47,Del Norte County,64,12,21,3,38,4,22,68,0,11,1,8,0,32,27,31,58,417,9,1,7
48,Glenn County,51,10,14,9,42,2,29,39,3,1,0,25,3,43,33,20,75,453,31,6,17
49,Kings County,172,59,30,19,122,17,77,235,2,14,6,59,0,135,94,104,280,1575,80,6,64
50,Modoc County,17,4,3,2,17,2,8,17,0,2,0,1,1,15,14,6,30,158,9,3,7
51,Mono County,140,31,0,14,75,3,9,27,0,9,0,7,2,64,25,65,71,562,8,3,9
52,Napa County,385,205,37,61,419,61,204,404,12,44,18,448,0,302,395,198,531,4043,108,5,206
53,Plumas County,102,31,7,20,85,18,19,48,2,9,0,15,0,51,45,30,84,593,13,5,9
54,San Benito County,84,54,7,12,138,11,49,102,1,9,0,65,5,80,72,53,106,927,36,1,42
55,Sierra County,14,2,2,2,10,0,1,8,0,1,0,2,4,4,3,1,7,67,6,0,0
56,Trinity County,45,8,2,9,33,1,8,23,0,3,0,10,0,17,20,9,53,253,5,3,4
57,Tuolumne County,153,61,17,40,158,12,67,173,2,19,0,62,3,107,89,79,180,1289,27,12,28
